prediction,confidence,label,hyper_radius,norm_radius
68,0.9530347585678101,49,1.3017603158950806,0.9999995782437459
33,0.968802273273468,33,1.3017603158950806,0.9999995782437459
55,0.9679599404335022,72,1.3017603158950806,0.9999995782437459
51,0.9908515810966492,51,1.3017603158950806,0.9999995782437459
71,0.9929543137550354,71,1.3017603158950806,0.9999995782437459
7,0.8650261163711548,92,1.3017603158950806,0.9999995782437459
15,0.5239642262458801,15,1.3017603158950806,0.9999995782437459
7,0.45725926756858826,14,1.3017603158950806,0.9999995782437459
71,0.9274004697799683,23,1.3017603158950806,0.9999995782437459
0,0.9801274538040161,0,1.3017604351043701,0.9999997891218729
12,0.794562816619873,71,1.3017603158950806,0.9999995782437459
75,0.9685211777687073,75,1.3017603158950806,0.9999995782437459
81,0.9894887804985046,81,1.3017603158950806,0.9999995782437459
69,0.9928320646286011,69,1.3017603158950806,0.9999995782437459
40,0.994415283203125,40,1.3017603158950806,0.9999995782437459
43,0.9933531284332275,43,1.3017603158950806,0.9999995782437459
92,0.9900415539741516,92,1.3017603158950806,0.9999995782437459
97,0.9934060573577881,97,1.3017603158950806,0.9999995782437459
70,0.9926103949546814,70,1.3017603158950806,0.9999995782437459
53,0.9918404817581177,53,1.3017604351043701,0.9999997891218729
70,0.991036057472229,70,1.3017603158950806,0.9999995782437459
49,0.9900307655334473,49,1.3017603158950806,0.9999995782437459
75,0.9765380024909973,75,1.3017603158950806,0.9999995782437459
12,0.10438170284032822,29,1.0377346277236938,0.5329450153208232
21,0.9900734424591064,21,1.3017604351043701,0.9999997891218729
16,0.9939268231391907,16,1.3017603158950806,0.9999995782437459
39,0.9933579564094543,39,1.3017603158950806,0.9999995782437459
8,0.9931239485740662,8,1.3017604351043701,0.9999997891218729
8,0.9685695171356201,8,1.3017603158950806,0.9999995782437459
92,0.06209658086299896,70,0.799479603767395,0.11147808591406864
20,0.9923972487449646,20,1.3017603158950806,0.9999995782437459
61,0.5464809536933899,61,1.3017603158950806,0.9999995782437459
41,0.9923999309539795,41,1.3017603158950806,0.9999995782437459
73,0.978693962097168,93,1.3017603158950806,0.9999995782437459
56,0.9855721592903137,56,1.3017603158950806,0.9999995782437459
79,0.20896506309509277,73,1.0974661111831665,0.6386084531973394
58,0.9907785654067993,58,1.3017603158950806,0.9999995782437459
2,0.9027107954025269,11,1.3017603158950806,0.9999995782437459
25,0.9908650517463684,25,1.3017603158950806,0.9999995782437459
37,0.9935430288314819,37,1.3017604351043701,0.9999997891218729
63,0.9721856713294983,63,1.3017603158950806,0.9999995782437459
24,0.9742639064788818,24,1.3017603158950806,0.9999995782437459
49,0.24694886803627014,49,1.1187407970428467,0.6762428181499852
30,0.9913431406021118,73,1.3017603158950806,0.9999995782437459
56,0.99319988489151,56,1.3017603158950806,0.9999995782437459
22,0.9931936860084534,22,1.3017604351043701,0.9999997891218729
41,0.993062436580658,41,1.3017603158950806,0.9999995782437459
58,0.9894701242446899,58,1.3017603158950806,0.9999995782437459
75,0.9014363288879395,75,1.3017603158950806,0.9999995782437459
17,0.577240526676178,17,1.3017603158950806,0.9999995782437459
4,0.9919294118881226,4,1.3017603158950806,0.9999995782437459
6,0.9623955488204956,6,1.3017603158950806,0.9999995782437459
9,0.9938645958900452,9,1.3017604351043701,0.9999997891218729
57,0.9926268458366394,57,1.3017604351043701,0.9999997891218729
2,0.8092882633209229,2,1.3017604351043701,0.9999997891218729
32,0.9928364157676697,32,1.3017603158950806,0.9999995782437459
71,0.9929296374320984,71,1.3017603158950806,0.9999995782437459
52,0.9927965998649597,52,1.3017603158950806,0.9999995782437459
42,0.994170069694519,42,1.3017603158950806,0.9999995782437459
69,0.9826468825340271,69,1.3017603158950806,0.9999995782437459
77,0.9661534428596497,77,1.3017603158950806,0.9999995782437459
32,0.9195297956466675,27,1.3017603158950806,0.9999995782437459
15,0.3956882953643799,15,1.2338879108428955,0.8799350621895413
65,0.9099092483520508,65,1.3017604351043701,0.9999997891218729
45,0.23676712810993195,7,1.080827236175537,0.6091747168513028
98,0.9902610182762146,35,1.3017603158950806,0.9999995782437459
43,0.991919755935669,43,1.3017603158950806,0.9999995782437459
82,0.9712461233139038,82,1.3017603158950806,0.9999995782437459
63,0.9930369257926941,63,1.3017603158950806,0.9999995782437459
92,0.9929094910621643,92,1.3017603158950806,0.9999995782437459
66,0.9843971133232117,66,1.3017603158950806,0.9999995782437459
90,0.5148752927780151,90,1.2435306310653687,0.8969927830124172
67,0.2596946358680725,67,1.2342056035995483,0.8804970523982589
91,0.8922701478004456,91,1.3017603158950806,0.9999995782437459
76,0.6077857613563538,32,1.2510583400726318,0.9103091041043104
32,0.9942811727523804,32,1.3017603158950806,0.9999995782437459
82,0.9926976561546326,82,1.3017603158950806,0.9999995782437459
10,0.9875307679176331,10,1.3017604351043701,0.9999997891218729
77,0.990505039691925,77,1.3017603158950806,0.9999995782437459
22,0.2099744826555252,22,1.1998372077941895,0.8197002557213608
