,predicted_value,confidence,real_value,hyper_radius
0,68,0.35686802864074707,49,2.971381187438965
1,33,0.9255582094192505,33,3.3316264152526855
2,55,0.7969686985015869,72,3.575617551803589
3,51,0.9992621541023254,51,4.45483922958374
4,71,0.9757311940193176,71,4.310267448425293
5,7,0.7858270406723022,92,3.7420849800109863
6,15,0.9958906173706055,15,3.9434781074523926
7,14,0.9914777874946594,14,3.7053189277648926
8,71,0.9296410083770752,23,4.136980056762695
9,0,0.9972980618476868,0,4.328577995300293
10,12,0.6350064277648926,71,2.968219518661499
11,75,0.999438464641571,75,4.6640543937683105
12,81,0.9978030323982239,81,4.332420825958252
13,69,0.9995678067207336,69,4.725489616394043
14,40,0.9997674822807312,40,4.764848709106445
15,43,0.9996359348297119,43,4.857022762298584
16,92,0.999895453453064,92,5.288697719573975
17,97,0.9996997117996216,97,4.911779880523682
18,70,0.9997332692146301,70,5.000507354736328
19,53,0.9956759810447693,53,4.145360469818115
20,70,0.9998365640640259,70,5.1653971672058105
21,49,0.9941855072975159,49,3.912607192993164
22,75,0.9468724131584167,75,3.1522178649902344
23,12,0.22134049236774445,29,2.4068422317504883
24,21,0.9923617839813232,21,3.8000564575195312
25,16,0.9990218877792358,16,4.445581436157227
26,39,0.9997386336326599,39,4.919283866882324
27,8,0.9999277591705322,8,5.483397960662842
28,8,0.9784727096557617,8,3.5487711429595947
29,45,0.9942504167556763,70,3.7964158058166504
30,20,0.9996763467788696,20,4.943558216094971
31,10,0.899283766746521,61,4.009653568267822
32,41,0.9922268390655518,41,3.829599142074585
33,73,0.8973066806793213,93,3.1324310302734375
34,56,0.9965110421180725,56,4.141255855560303
35,27,0.7392779588699341,73,2.7944421768188477
36,58,0.9997625946998596,58,5.0812273025512695
37,2,0.503145694732666,11,3.209986925125122
38,25,0.9987155199050903,25,4.276632785797119
39,37,0.9426283240318298,37,3.2056171894073486
40,63,0.49978771805763245,63,3.1189982891082764
41,24,0.9932215213775635,24,3.8784358501434326
42,49,0.9842045903205872,49,3.590848207473755
43,30,0.8430129885673523,73,2.8953633308410645
44,56,0.9971550703048706,56,4.206714630126953
45,22,0.9998893737792969,22,5.189028739929199
46,41,0.9992234706878662,41,4.6145219802856445
47,58,0.9992803931236267,58,4.702174663543701
48,46,0.965402364730835,75,3.3121836185455322
49,76,0.4096243977546692,17,2.5859858989715576
50,4,0.9996825456619263,4,4.689040184020996
51,6,0.981497049331665,6,3.5721163749694824
52,9,0.9998534917831421,9,5.092994689941406
53,57,0.999800980091095,57,4.982267379760742
54,11,0.7522520422935486,2,3.4183919429779053
55,32,0.9987964630126953,32,4.240843296051025
56,71,0.9989411234855652,71,4.4861226081848145
57,52,0.9979987740516663,52,4.3181023597717285
58,42,0.9991061091423035,42,4.437469482421875
59,69,0.9742769002914429,69,3.4256560802459717
60,77,0.9739812016487122,77,3.330906629562378
61,27,0.7246440649032593,27,3.184117317199707
62,29,0.2053670883178711,15,2.7630701065063477
63,65,0.9901725053787231,65,3.7117979526519775
64,62,0.997586727142334,7,4.2411417961120605
65,98,0.9790950417518616,35,3.434023857116699
66,43,0.9990981817245483,43,4.543457508087158
67,62,0.5391363501548767,82,3.840758800506592
68,63,0.9997442364692688,63,4.7964863777160645
69,92,0.9994781613349915,92,4.7403483390808105
70,66,0.7495119571685791,66,2.9058170318603516
71,13,0.41687893867492676,90,2.65814471244812
72,67,0.8719087839126587,67,3.0589239597320557
73,91,0.998967170715332,91,4.456203460693359
74,49,0.7380128502845764,32,3.2025015354156494
75,32,0.9991558790206909,32,4.336379051208496
76,82,0.9997196793556213,82,5.048325538635254
77,10,0.9951320886611938,10,3.930050849914551
78,77,0.9895540475845337,77,3.629946708679199
79,22,0.9859304428100586,22,3.703303575515747
80,71,0.9990973472595215,71,4.523747444152832
81,78,0.9966015815734863,78,3.9505085945129395
82,54,0.9987912774085999,54,4.415092945098877
83,6,0.9962186217308044,6,4.103348731994629
84,29,0.9894160628318787,29,4.0765790939331055
85,89,0.9996064305305481,89,4.801835060119629
86,78,0.9899868369102478,78,4.150308132171631
87,33,0.792061448097229,33,2.9727463722229004
88,35,0.9971579313278198,11,4.073616027832031
89,67,0.9925510883331299,67,3.874899387359619
90,22,0.9994409680366516,22,4.651278972625732
91,18,0.9981058835983276,18,4.142506122589111
92,27,0.9821913838386536,27,3.6104507446289062
93,21,0.9993909597396851,21,4.639277458190918
94,13,0.9982397556304932,13,4.34634256362915
95,21,0.9878657460212708,21,3.74706768989563
96,50,0.9869498610496521,50,3.586573362350464
97,75,0.451363205909729,75,2.8392467498779297
98,37,0.9816470742225647,37,3.519974708557129
99,35,0.4232071340084076,35,2.4290530681610107
100,26,0.9956879019737244,26,3.896268606185913
101,83,0.983717679977417,83,3.682291269302368
102,47,0.5633306503295898,47,2.934128999710083
103,95,0.7509034872055054,95,3.5418102741241455
104,43,0.9970976114273071,43,4.157634735107422
105,69,0.9998321533203125,69,5.029532432556152
106,76,0.9997550845146179,76,4.9332804679870605
107,17,0.9947633147239685,17,4.0505852699279785
108,57,0.9995829463005066,57,4.735163688659668
109,59,0.9990180730819702,59,4.432394504547119
110,25,0.999897837638855,25,5.088072299957275
111,20,0.9993746876716614,20,4.71983528137207
112,27,0.9970452189445496,27,3.9973304271698
113,0,0.9848308563232422,0,3.7210261821746826
114,9,0.9996159076690674,9,4.77370023727417
115,71,0.9954850673675537,71,3.9945263862609863
116,8,0.5096963047981262,8,3.4083364009857178
117,43,0.9993941783905029,43,4.678905963897705
118,57,0.99561607837677,57,4.002175331115723
